id,source,language,task1,task2,clean_text
22,twitter,en,1,sexual-violence,bitches be begging me to them just to give me reason not to them lol
23,twitter,en,1,ideological-inequality,going to start demanding that hot lesbians sleep with me and if they say no going to accuse them of misandry and heterophobia might throw in racist or fascist toobecause not
24,twitter,en,0,non-sexist,philosophy he has funny mustache what else does man need
25,twitter,en,0,non-sexist,please always take care of yourself as times are getting hard around the world you are one of the most beautiful women ever made hope this reaches you
26,twitter,en,0,non-sexist,would dislike friend like james harden he gave one of the babys prada bag honey buns richard mille and now have to remember your birthday and go buy you something worth more fuck just give me the honey buns and send me text foh with all the extra shit
27,twitter,en,1,sexual-violence,youre beautiful woman with beautiful heart still think youre the sexiest now bend over daddies gonna spank you
28,twitter,en,0,non-sexist,looks like cool boss lady
29,twitter,en,0,non-sexist,people who cant be vaccinated you know like pregnant and nursing women people who have had organ transplants those with cancer etc
30,twitter,en,0,non-sexist,women make it about themselves children can live without you touching them every second the child is not toy but full human being if kids could talk from day one they would tell you to leave them alone of the time
31,twitter,en,0,non-sexist,love poetry books so reading the one have on this plane flight and one of the flight attendants black women goes its good to see brotha reading something thats is so deep
32,twitter,en,0,non-sexist,you are right the probleme is the war between left and right while if they work together they can do great things the equality need freedom and freedom need equalityright have many things to help peopleleft have the humanity who can gain great things to improve society
33,twitter,en,0,non-sexist,fucki hate that there is literally good amount of people lucky enough to even share the same space with you for even some secondsand they fucking behave like this even as an accidentaghhi would die even if was in the same city as you
34,twitter,en,1,objectification,women with big knockers shouldnt wear patterned tops draws attention to themselves also too low
35,twitter,en,1,ideological-inequality,thats because she was seriously mentally ill just like dworkin amp millett radical feminism which is more accurately described as carceral separatism has decades long habit of putting the unhinged front amp center
36,twitter,en,1,misogyny-non-sexual-violence,learned needlepoint to pick up chicks when traveling pua mgtow
37,twitter,en,0,non-sexist,the people deserve to know they are being denied month survival checkscovid relief should not be debated behind closed doors
38,twitter,en,1,stereotyping-dominance,have read the bible and you are right the letters of paul are supporting the oppression of women to give one example out of many also if being swallowed large fish and coming out of it alive is natural law then would travel fish and not boat
39,twitter,en,0,non-sexist,this is super news for the womensrights
40,twitter,en,0,non-sexist,tuesday eritrean forces killed civilians who were hiding in the alnejashi mosque woman from the tigray town of negash tells me over the phone she managed to escape the massacre amp arrived in mekele last wednesday after walking more than
41,twitter,en,1,ideological-inequality,men are so superior to inferior little asian men like me love the snowbunnies that have handsome bulls as boyfriends fuck buddiesthey are alpha men nor pindick loser like me would love to serve couple amp be cucked them midlands ukqueenofspades
42,twitter,en,1,ideological-inequality,except for the human you murdered in the name of whoring yourselves out good job feminists
43,twitter,en,1,stereotyping-dominance,people are actually scared of single woman and these traitors should be scared of her remember one thing you can stop one kangna but uncountable kangna will counter back and stand for what is right
44,twitter,en,0,non-sexist,we can discuss that later but the important part is
45,twitter,en,0,non-sexist,the cock carousel is exhausting
46,twitter,en,1,ideological-inequality,youre transwoman not youre mansplaining womens rights period
47,twitter,en,0,non-sexist,the prompt isnt posted yet free woman till am what else
48,twitter,en,1,stereotyping-dominance,ive been sooo interesting whole life and just want to be boring trophy wife now
49,twitter,en,0,non-sexist,police searching for man accused of stealing womans purse from inside business driving off with her
50,twitter,en,1,sexual-violence,need someone to make me cum pussy is throbbing for some cock me for some fun horny sext sexting trade tribute cumtribute pussy wet orgasm cumslut slut sex fuckme dirtytalk verbal porn cock cum dirty hornyfemale wetpussy
51,twitter,en,0,non-sexist,hello stalker in scotland using google chrome an app do not use wont supply and address though stalked harassed loggedinsametimeasme nowherenearscotland differentisland
52,twitter,en,0,non-sexist,new realm debate lamprey milt
53,twitter,en,1,misogyny-non-sexual-violence,you look like prostitute that literally no one would go to
54,twitter,en,1,ideological-inequality,back back to limbaugh your creator feminaziseriously you lost over million votesyou lost decisively and definitivelyyou lost humiliatinglyyou make yourself bigger loser claiming you were so entitled to win you just couldnt have loststop whining
55,twitter,en,0,non-sexist,the shouting against the white men was not hate was love twisted but love all the same thats whats going on here
56,twitter,en,0,non-sexist,am the only suburban white woman whose neighborhood is still standing
57,twitter,en,0,non-sexist,do all you democrats smoke crack democrat never knew that we have people like you guys that could hate the united states has much always want to blame one person remember we cannot fight something that we cannotsee always wanting to blame president trump not just one guy
58,twitter,en,1,misogyny-non-sexual-violence,willie is twisted for inciting this but lets be honest willie was always problematic from the start manila tho hunny instead of defending an empowered woman who was comfortable in her own skin she chose to let mans taunting words stroke her ego disgusting
59,twitter,en,0,non-sexist,ladies dont get fooled before the year is up that bout to get real spooky
60,twitter,en,0,non-sexist,yeah go for vat of slag
61,twitter,en,0,non-sexist,was the manspreading crusade of the psyop or was that real do we know
62,twitter,en,0,non-sexist,factcheckingdespotabiyahmed out of the tigrayans fled to sudan more than women are pregnant and of them are survivors of gender based violence abiyliesethiopiadies tigraygenocide stopwarontigray
63,twitter,en,1,sexual-violence,the intimidating yell of the woman was demanding and he didnt dare want to make her angryhe feels back and this time he puts all his strength behind the spank that contacts her ass
64,twitter,en,0,non-sexist,what does you getting pregnant have anything to do with the decision to get the vaccine doesnt sterilize you anything you should probably want to be immune to contagious disease before you get pregnant
65,twitter,en,0,non-sexist,adaptation but we dont know what tedros will look like in the adaptation yet he might not be blonde and kinda dumb no offense love teddy and the other cast might not be like how they look like in the book
66,twitter,en,1,misogyny-non-sexual-violence,rat and skank
67,twitter,en,1,misogyny-non-sexual-violence,want to settle down now that youve gotten bored with the cock carousel
68,twitter,en,0,non-sexist,shell laugh at the response like villain in guessing another small chuckle from the lovely lady before actually respondingwriting vibin throwing knives into cutting board when not playing five finger fillet with them
69,twitter,en,0,non-sexist,and the thing that makes sexual assault is not the specific act being carried out but rather the lack of consent to that act it happens to be kink or vanilla or fucking street harassment
70,twitter,en,0,non-sexist,scientific truthmales to flat earth nicholsonhe fails perth scotlandmermaids below shows his agendanec now changedsame voted out if fail to uphold womensrightschild safeguarding then
71,twitter,en,1,misogyny-non-sexual-violence,cant believe peter prices burner account just called me slag lol
72,twitter,en,0,non-sexist,your dumb logic gays the infertile and post menopausal women shouldnt be allowed to have sex because they cant reproduce
73,twitter,en,1,sexual-violence,reblog if can tease your thick cock
74,twitter,en,1,stereotyping-dominance,wouldnt showing womens football of any level promote it moreas said she is good but in an age where we go on about equality it seems there is disparity between what is required as woman and what is required as man which cannot be argued
75,twitter,en,1,stereotyping-dominance,someone said where the real women at and in the comments someone else said church and dude responded with every girl met at church was whore
76,twitter,en,0,non-sexist,slackers one year ordered hubs huge new grill from amazon had to use feet to roll it over because it was so heavy and it looked like something frankenstein had wrapped because it took rolls of paper but did it now ive learned the trick dont wrap the bottom
77,twitter,en,1,ideological-inequality,still waiting for response from the crown of saudi arabia you think care that your crown prince how does it feel to kill ampdismember journalist or imprison female activist for having the audacity to say that women should be able to drivefu
79,twitter,en,0,non-sexist,you dont know anything you cant know and furthermore you dont actually to know dont feel any sympathy at all for males who envy women dont have any empathy at all for any envier is psychologicalemotional problem enviers are deformed
80,twitter,en,1,ideological-inequality,will follow yall because the more men yall kil means more women for some sooooo kill all the men want
81,twitter,en,0,non-sexist,im random ass slapper too lmao
82,twitter,en,1,objectification,first thing see are her slut nails
83,twitter,en,1,ideological-inequality,you either believe in the full equality of men and women or you do not feminism lite that men are naturally superior but should be expected to treat women well no no no there must be more than male benevolence as the basis for womans wellbeing
84,twitter,en,1,sexual-violence,aaah just saw you on the telly said to wife follow her on twitter shes mansplaining magnetdambusters
85,twitter,en,1,ideological-inequality,promoting master class for fame is the funniest shit this girl is the prime example of what happens when you give stuck up ignorant self obsessed people famewhat are the tips to be bitch and always victimize urselfoh and be racist and never take accountability
86,twitter,en,0,non-sexist,want doll cuz hate people not women dont feel good talking with people dont know so chance of getting is zero mostly because dont want to be hurt like first and last time in relationship
87,twitter,en,1,sexual-violence,lol youre nutting in women you find ugly yet fucking them alone men tell you no standards
88,twitter,en,1,stereotyping-dominance,some women have to start holding their friends accountable for these ways of thinking just dont understand some of these expectations yall have for us men she was late how do you prioritize date before feeding your child maybe wrong
89,twitter,en,1,sexual-violence,former aide lindseyboylan alleges crooked democrats newyork gov andrewcuomo sexually harassed her about looks media covers america takeaction politiciansgeorgia vote republican
90,twitter,en,0,non-sexist,hate on beautiful woman making her money rather learn from them thats the difference between you and me admire women while you hate and to shade them do better
91,twitter,en,0,non-sexist,thinking about disneys cultural empire and how american mythos is inherently linked to puritan industriousness that exploits every ounce of value out of every resource it encounters with no regard for quality or utility of the product it creates from the plunderword
92,twitter,en,0,non-sexist,tell me find this picture attractive
93,twitter,en,1,sexual-violence,kaliati says it is unfortunate that day hardly passes without hearing of case of rape defilement and other violence against girls women and children
94,twitter,en,0,non-sexist,set time everyday for showerbath time set an alarm to stick to it remember depression is bitch but nice shower goes along way in making you feel less like crap also invest in nice bath products our old chef would say you look good you cook good
95,twitter,en,0,non-sexist,notallmen admit defeat
96,twitter,en,0,non-sexist,amen ive had men women make nasty comments or assumptions based on clothes ive worn to shows maybe mind your business and just enjoy the wrestling
97,twitter,en,1,ideological-inequality,must bother you that youre supposed feminist but you suddenly find yourself in lockstep with the religious right when youve probably fought them on everything all your life they didnt suddenly become feminists theyre the patriarchy and they what youre doing
98,twitter,en,0,non-sexist,old men with twisted behaviours on children kincorauk journalist amp brother with humanrights after harassed bullied blacklisted
99,twitter,en,1,objectification,no you look like whore
100,twitter,en,0,non-sexist,men have chance to be gold digger they do it with shame
101,twitter,en,1,objectification,love how is the emoji you chose to represent how hot women are
102,twitter,en,1,ideological-inequality,just got wise guys out women cant tell me that dont know the pain of childbirth anymore
103,twitter,en,1,sexual-violence,did you really get double gangbanged in video
104,twitter,en,0,non-sexist,so what exactly do wish to have been done go and drag her out dont understand we are all adults think until we begin to tell women that they are not less humans and can take their own decisions and responsibilities we cant make progress if we keep shifting blame
105,twitter,en,0,non-sexist,young girl with mismatched eyes and the ability to speak to ghosts comes of age in puritan new england pitmad
106,twitter,en,0,non-sexist,the patriarchy is really regretting allowing women to read right nowdrjillbiden patriarchy drbiden kamalaharris
107,twitter,en,0,non-sexist,yep whole new use of cockblock
108,twitter,en,0,non-sexist,are open for rates men and women send me your pics bonus points if its video sext horny sex porn cum cumslut dick cock penis dickpic tits boobs titpic dmme nudes rates whore slut bi gay lesbian
109,twitter,en,0,non-sexist,certified slapper
110,twitter,en,0,non-sexist,you know the world is hot mess when girl on tiktok makes for sec vid of her pulling faces not particularly uniquely eitheryou all know people do that to make babies laugh right
111,twitter,en,1,objectification,wow that gift of bracelet to susanna reid was so touching he certainly wants her dont blame him susanna is such sexy women especially showing us all in that red sparkly outfit he did make an impression on her wonder if he finally got to bang her after that
113,twitter,en,0,non-sexist,thanks babes
114,twitter,en,0,non-sexist,imagine being traditionally attractive can not relate to any capacity
115,twitter,en,0,non-sexist,dude
116,twitter,en,1,misogyny-non-sexual-violence,woman so see this stuff and understand your argument but feel like saying the white men that do cruel inhumane things to women and people shouldnt be glossed over if youre comparing the races not racist any means women hate men stems from men kill us every
117,twitter,en,1,misogyny-non-sexual-violence,sagittarius so hate sagittarius women
118,twitter,en,0,non-sexist,hhaaah yes ddid fuck tyler whimpered biting his lower lip as his back arched that fat thumb touching his sensitive folds making his eyes flutter shutsome more of that glistening liquid dripped out of the boys blossoming cunt the pink flesh inside shiny
119,twitter,en,0,non-sexist,birthday to you may god continue to shower his infinite blessings on you and your family
120,twitter,en,1,ideological-inequality,black men protect your friends amp family these pro black women burn the cape divest black feminazi twitter your life for them is the same as your life for colonizer let these grown adults protect themselves
121,twitter,en,0,non-sexist,just waiting to hear about the version of the oedipus complex the childs repressed desire to transition their single parent dad into mother in order to sleep with them maybe its the other way round now cant keep up love is love
122,twitter,en,1,objectification,well hello isnt kathys skirt very short
123,twitter,en,0,non-sexist,yes severity agree with you but dont give fuck what the numbers say the fact remains that if film crew breaks out then the film is shut down until they have recovered would like to go to movie theater again to see something other than year old movie
124,twitter,en,0,non-sexist,thats so proud of the work we do in today
125,twitter,en,0,non-sexist,this was posted on instagram in so no it has nothing to do with the or gamergate reposthappyveteransday yay noschoolthankyouemtsdoctorssoldiersmarinenavyarmyairforceveteranspolicegovernment for fighting for ourfreedom
126,twitter,en,1,ideological-inequality,men cant be feminists is terf red flag just
127,twitter,en,0,non-sexist,whooooo once in million that happens yall get hella happy like fam yall need to chill man this hilarious literally damn if you damn if you dont literally has to be that aplus student for life but if they get its problems in the house lol
128,twitter,en,1,objectification,me koonye west is canceled fuck that shuckin jivin sunken place white womens whorealso me listening to family business
129,twitter,en,0,non-sexist,thats child being hit coming down to the field to sodomize him the coach maybe thatll teach him to chill out
130,twitter,en,0,non-sexist,baby boy this is what you get when you tease me the dom says rubbing his cock as he watches his baby squirm against his restraints sorry daddy please just let me cum the dom just grabs their babys throat looks into his eyes and says dont think so
131,twitter,en,0,non-sexist,have you seen that one doujin where he got gangbanged tho
132,twitter,en,1,misogyny-non-sexual-violence,ivey look better then any nigga you ever fucked wit in ya life you like ugly niggas because you can control them you know one of them niggas that make nigga hide they bitch thats you dont like me and always assume shit
133,twitter,en,1,stereotyping-dominance,gold digger
134,twitter,en,1,sexual-violence,she pulls down her combat skirt and her panties as her cock hit your pussy oh wont tease you kitten
135,twitter,en,1,ideological-inequality,just wait few years and the lobbist feminazi will pass laws allowing killing us
136,twitter,en,1,objectification,yall wouldnt believe if told ya that went an extra length to learn how to make boobs bigger for editsthe mun is girl who stays true to her ideals
137,twitter,en,1,objectification,and skippy what are you going to do when women refuse to have sex unless they want to have baby who are all you incels going to fuck then no wait you dont get fucked now so nothing will change for you still punitive stupid law that serves no purpose
138,twitter,en,0,non-sexist,for sharing this beautiful little ladys journey peace and blessings as your carry her spirit you always
139,twitter,en,1,ideological-inequality,theres been an influx of people who refer to themselves as gender critical radical feminists be aware that these people are part of hate group that radical right wing evangelicals finance to break up the unity their goal is to legalize conversion therapy
140,twitter,en,0,non-sexist,ladies is it hot that im good at geoguessr wilbur dont like men but yes find it attractive
141,twitter,en,0,non-sexist,intimate interactive business event with inspiration lessons and advice from women entrepreneurs for todays allowing for connections and collaborationsjoin
142,twitter,en,1,stereotyping-dominance,quoting news report about pompeo you cant tweet that pakistan is marketing hindus and christian women aa concubines
143,twitter,en,1,sexual-violence,this is very nice day to remind you all that qatar isnt capable of responding quickly when it comes to important things just like the recent issue that happened in dohaairport female passengers were extremely harassed the airways employees
144,twitter,en,0,non-sexist,do you believe judge or would violate his sworn oath of office and rule on politics rather than the law seriously that what you do these women and men decide on evidence not shouting from pols dont suppose others lie is unwarranted and bet you know that
145,twitter,en,1,ideological-inequality,but the problem is also with women most muslim women are more feminist than gloria steinem very convinced they can incorporate feminism in their beliefs while forgetting that both are opposites of each other
146,twitter,en,0,non-sexist,like its literally not fault ugly amp im sorry that cant be this masculine child that you want
147,twitter,en,1,stereotyping-dominance,call me sexist but ive never seen girl eat whole large dominos pizza herself
148,twitter,en,0,non-sexist,no actually like doing this have nothing better to do and want to see the moment he realises we arent comparing rape to cheating were comparing what happens in them dont actually care to take want to see when his brain becomes less smooth
149,twitter,en,0,non-sexist,the goal in is to stimulate the hormone levels of cis woman far as the structures you mentioned there are cis women cis women who have all of those features as well should they be excluded
150,twitter,en,1,ideological-inequality,can the fellas participate or is this just for the ladiesnon binary people because dont wanna get clowned
151,twitter,en,1,sexual-violence,look at you pathetic little bitchnow want you to say im weak submissive slut for daddy amythen end me on your kneesi dont care if its your last bitch your only purpose in life is to erve medeal with itnow end like good little pig
152,twitter,en,0,non-sexist,couldnt give shit about what chrissy teigen is doing if someone paid me to care about what shes doing do not like that woman
153,twitter,en,1,ideological-inequality,thankful they are setting the bar low they could have some antipatriarchy feminazi from sweden bitching about death penalty like greta thuneberg
154,twitter,en,1,ideological-inequality,what absolute tosh is this article what kind of idiot writes this in the century can you imagine this being asked of man everydaysexism women
155,twitter,en,0,non-sexist,dont forget to clean your weapons ladies last thing you need is misfire if youre in life or death situation because you didnt clean your piece
156,twitter,en,1,stereotyping-dominance,soon as men spot fashion trend artist literally anything that most women happen to be really in toenjoy they label it as being basic and then their hardest to make women feel embarrassed for likingenjoying said thing
158,twitter,en,0,non-sexist,go get em kick ass
159,twitter,en,0,non-sexist,did netflix cast white woman for character literally was so excited until realized the majority of the whole cast is white
160,twitter,en,1,sexual-violence,attention this dirty whore is in very naughty mood me if you want to see this uncencored gayporn hornygay dmme dmsopen nude gaynude cheapslut ftmporn cuntboy malepussy
161,twitter,en,0,non-sexist,dang pound
162,twitter,en,1,ideological-inequality,that the same woman who empowered herself using men to climb her social ladder
163,twitter,en,1,objectification,republican trophy wife
164,twitter,en,0,non-sexist,because thats different women can easily be taken advantage of and forced to do something boys at that age are willing participants we all were that age and that was dream for most teenagers
165,twitter,en,0,non-sexist,manspreading bros
166,twitter,en,1,ideological-inequality,youre man talking to woman shut the fuck up weve heard enough of your mansplaining
167,twitter,en,1,ideological-inequality,performative misandry has allowed women way to voice their displeasure with the patriarchy in manner that is relatively safe and harmless hurt feelings suck but they pale in comparison to largescale institutional slights
168,twitter,en,1,stereotyping-dominance,women todaywhere do workdo you own your own house have you got your own officewhat car do you driveooh thats not
169,twitter,en,0,non-sexist,glad it wasnt just me who saw the everydaysexism in this twitterad
170,twitter,en,0,non-sexist,are you thirsty means thirsty is basic human expressionshes basically saying that women live in literal opposite dayeveryday
171,twitter,en,1,misogyny-non-sexual-violence,lets face it hillary clinton is such skank shes just an over the hill corrupt crime ridden career politician subhuman
172,twitter,en,0,non-sexist,muslim teen meets dalit girl for pizza outing lands in jail under anticonversion law
173,twitter,en,1,misogyny-non-sexual-violence,hate women has never talked to woman
174,twitter,en,0,non-sexist,some fat kid stole pencil
175,twitter,en,0,non-sexist,no such thing as ugly billionaire cute
176,twitter,en,0,non-sexist,tweet about systemic racism you pulled notallwhitepeople it doesnt apply to you its not meant for you what if you were talking about your bad experiences with menpatriarchy amp some guy came in amp pulled notallmen on you
177,twitter,en,1,ideological-inequality,note not now nor have ever been in gang of any sort from real to girl gang however because of how imagebased sports is for women didnt realize how much of perception and participation in sport and individual exercised was dominated sexist perceptions
178,twitter,en,1,ideological-inequality,conservative youtube has just been using different words to do the same purple haired septum ring year old feminazi gets thinks are videos for like years straight dont understand how this is still profitable
179,twitter,en,0,non-sexist,just read high court judgement forget personal attacks feminism transphobia the judges made clear conclusionslack of evidence for use of in avoiding puberty altogether and is experimental read tavis own researchshowed restricted growth but until forced
180,twitter,en,1,sexual-violence,send dick to anyone who likes or me horny hornydm cockdm opendm dmme cock cockrate dickrate dick cum dickpic nudes trade porn freenudes slut teen young adult sext hmu straight
181,twitter,en,0,non-sexist,bullshit spent many many days in townships throughout during the seventies there were many successful african business woman and men then some millionaires driving around in flashy cars and residing in huge houses regarding land you are partly correct
182,twitter,en,1,misogyny-non-sexual-violence,women are outdatedfemboys have replaced them
183,twitter,en,1,ideological-inequality,okay know its old news but heres take on the biden oped she wouldnt need to call herself if we lived in less sexist society young woman its amazing how differently people treat me once they find out an attorney
184,twitter,en,0,non-sexist,undoubtedly rubinaistheboss strong woman who knows what it takes to be winner she has been the same from day absolutely classy and knows how to speak for herself not just this week she is the boss this whole season of bigg boss
185,twitter,en,0,non-sexist,mova be so mad like lady please calm down before have heart attack shit dont even be that serious she just wanna be angry
186,twitter,en,1,misogyny-non-sexual-violence,fucking skank
187,twitter,en,1,objectification,that is very short skirt
188,twitter,en,1,sexual-violence,fashion mogul peter nygard indicted on sextrafficking charges nygard was arrested in canada at the request of authorities federal indictment in new york city accused him of recruiting dozens of women and teenage girls for sex
189,twitter,en,0,non-sexist,hi many muslim woman are empowered hijab and wearing hijab for them is act of liberation you dont feel empowered hijab do not disrespect the countless hijabs who do your hashtag and context seems problematic
190,twitter,en,1,objectification,some women just dont deserve onlyfans bitches be as fuck and ask you to pay to see their
191,twitter,en,1,stereotyping-dominance,cut the crouch out to send message like lady
193,twitter,en,0,non-sexist,thank fuck for that must be the cars faults then silly cunt
194,twitter,en,1,sexual-violence,ripped latex to use latexinpublic latexporn tease teaser pornhub latexporno kink kinky andover andup latexrubber rubber rubberfetish fetish fetishcontent sexworker latexmask mask masterbating storking cock juicycock cock latexleggings shiny
195,twitter,en,1,ideological-inequality,people will claim misandry isnt real ok geniuses then is there only one pussy option in cyberpunk
196,twitter,en,0,non-sexist,for the first time donated to political campaign three in fact we cant be mad good people dont run if we arent willing to help and support them when they do women man republicans democrat should have done more but it felt good getting involved
197,twitter,en,1,ideological-inequality,feminist and think than notallmen are rapists therefore its sensible to be naked and drunk at frat party and expect to not be raped every time you say what else did she expect youre the one implying that all men should be presumed to be rapists
198,twitter,en,0,non-sexist,maybe when brexit goes tits up for the we can go back to the old days and export wheat barely and other stuff to them
199,twitter,en,1,misogyny-non-sexual-violence,trump could sodomize your wife and you would find some way to defend him
200,twitter,en,1,misogyny-non-sexual-violence,the cuffs are going to be slapped on your wrists your slovenian trophy wife will abandon you for someone who isnt impotent or broke
201,twitter,en,1,stereotyping-dominance,just wanna be trophy wife or trust fund baby and since the second one isnt happening then im gonna work towards the first goal
202,twitter,en,1,ideological-inequality,they are victims of feminismfeminism is an ideology based on nothing but the hatred of men and boys and special status for women in all things
203,twitter,en,1,misogyny-non-sexual-violence,make me slutbag
204,twitter,en,0,non-sexist,the only problem with that is you have to go to the most logical person in said situation because any guy who justifies sexual harassment is demented anyway its just easier to choose peace and turn your off but understand now wanting to do that because of someone else
205,twitter,en,1,stereotyping-dominance,aint sayin she gold digger just saying she gold diggerrrr
206,twitter,en,0,non-sexist,when you give her care she gives it back times morewhen you give her honesty you give her the power the power of choicewhen woman feels empowered with you there is no limit on the good you will receiveblackwoman blackmenwholearn menwholisten powercouple
207,twitter,en,1,ideological-inequality,women have to live in patriarchal society filled with misogyny therefore women cannot be feminists thats how brainless you sound
208,twitter,en,1,stereotyping-dominance,dwight you ignorant slut
209,twitter,en,1,objectification,you can call me sexist pig but she looks so plastic
210,twitter,en,1,sexual-violence,women think men enjoying sucking breast loltruth is men only enjoy how they make you feel wen they do that we only enjoy the sounds moaning yall make wen we do that makes us feel like real menu know it takes real man to satisfy woman right
211,twitter,en,0,non-sexist,feel good as shit right now cant even lie thing that could make it better is moms red velvet and foine ass black man
212,twitter,en,1,stereotyping-dominance,men who do plastic surgery and take steroids are unnatural men go call me sexist come back when you can actually formulate an original thought other than rehashed leftist garb you sound goofy af
213,twitter,en,0,non-sexist,least youll beat team pregnant
214,twitter,en,0,non-sexist,years ago then dey import kelewele sef from abidjan but today the woman at the junction sees me and says bra bgye
215,twitter,en,0,non-sexist,with all that we go through as women its simply unfair that we have to bleed once month
216,twitter,en,1,objectification,mines got to be taking one out on date with her short skirt sexy high heels and very seducing panty that it barely hides the lovely turn her on so if she gets hard have to let that hard gi away as punishmentreward
217,twitter,en,0,non-sexist,according to study the egyptian center for womens rights with the help of several the increasement is equality womenempowerment women womensrights prochoice humanrights empowerment genderequality
218,twitter,en,1,misogyny-non-sexual-violence,women should stop following men that hit women so therell be sufficient ones to go around for we single guys
219,twitter,en,1,objectification,it necessary to show your skin on soc med to be called an empowered woman
220,twitter,en,1,ideological-inequality,do feminsits call time with ur family burden and think this will sell men to doing it amp also dont you call work burden and say men working on average hours more and commuting longer than women is burden would that damage the victim narrative
221,twitter,en,0,non-sexist,stay safe
222,twitter,en,1,ideological-inequality,whole season which make me not enjoy the show used to enjoy the show before they started pushing the agenda that men bad amp women the heros the need maybe misinterpreting it but its best to express opinion amp see if people have similar feeling about it
223,twitter,en,0,non-sexist,for
224,twitter,en,1,objectification,she is just settling after riding all that famous cockcarousel sad
225,twitter,en,1,misogyny-non-sexual-violence,you are male ignorantly mansplaining womens issues to womanyour prerogative to tweet such misogynistic drivel as it is mine to point it out
226,twitter,en,1,sexual-violence,well she also said sex work is work does that create financial security for workers no creates women who are coerced beaten and raped on the daily should recognize that as well
227,twitter,en,0,non-sexist,you realise that the vast majority of women are responsible people who do not sleep around right
228,twitter,en,0,non-sexist,the past was often disgusted with women and men for supporting abortion because regard their attitude as right consequence free sex is so important kill babies to enable it
229,twitter,en,1,objectification,adam how can be trophy wife if youre gonna be trophy husband
230,twitter,en,0,non-sexist,its the finale anniversary today but normally most of the fancams see on merlin are of the women
231,twitter,en,0,non-sexist,bet girl
232,twitter,en,0,non-sexist,ladies dont play with this advice
233,twitter,en,0,non-sexist,bunch of light skinbiracial women with the light eyes arguing about black history kill me now
234,twitter,en,1,objectification,no you look like trump loving crack whore is wrong with your eyebrows
235,twitter,en,1,ideological-inequality,non vegans who call themselvesyogisbuddhistsspiritual environmentalistsactivistsequality activists blmfeministsare all and frauds challenge them
236,twitter,en,0,non-sexist,how do you manage to look so beautiful all the time love ya
237,twitter,en,0,non-sexist,taking photos of fat tiddies and belly like all the skinny girls see
238,twitter,en,0,non-sexist,non sentient developing human unaware of its own existence the entire time its in the womb and cant feel pain until the third trimester not sacrificing health for nine months because some puritan believes abortion is murder which it isnt
